50, 96, 81.5, 32.17226, -89.493, 1752031320.761375
51, 78, 13.97, -77.865818, 37.378, 1752031320.8615851
52, 76, 22.23, 58.752015, 73.593, 1752031320.9627337
53, 148, 50.65, -72.313121, 123.555, 1752031321.063038
54, 18, 58.74, 40.702636, -81.646, 1752031321.1632457
55, 138, 7.12, 41.587045, -174.803, 1752031321.2636342
56, 132, 69.17, -12.771659, -34.55, 1752031321.3641596
57, 111, 42.78, -32.774892, 116.969, 1752031321.4645696
58, 110, 64.27, -46.435429, -167.489, 1752031321.5646973
59, 110, 80.53, -61.143155, -77.279, 1752031321.665326
60, 27, 70.58, 46.904042, 13.852, 1752031321.7655106
61, 140, 45.79, 77.66641, 31.664, 1752031321.8658504
62, 33, 11.77, -3.959015, 35.76, 1752031321.9662597
63, 5, 40.75, 9.382838, -62.805, 1752031322.0667439
64, 96, 97.36, 71.964797, -78.363, 1752031322.1672814
65, 15, 44.68, 19.791045, -54.642, 1752031322.2675567
66, 49, 70.93, -42.691367, 8.755, 1752031322.3680515
67, 68, 34.59, -10.302654, -147.043, 1752031322.4684966
68, 49, 82.72, -61.375603, 171.091, 1752031322.5691924
69, 120, 98.09, 35.995717, -10.622, 1752031322.669438
70, 91, 56.72, 47.934524, -109.728, 1752031322.7696927
